site,plotID,year,shannon_exotic,evenness_exotic,nspp_exotic,shannon_notexotic,evenness_notexotic,nspp_notexotic,shannon_native,evenness_native,nspp_native,shannon_unknown,evenness_unknown,nspp_unknown,rel_cover_native,rel_cover_unknown,rel_cover_exotic,cover_native,cover_unknown,cover_exotic,rel_cover_notexotic,cover_notexotic,shannon_total,evenness_total,nspp_total,shannon_family,evenness_family,nfamilies,invaded,turnover,nestedness,monthyear.x,year_plot,easting.x,northing.x,mean.max.canopy.ht.aop,max.canopy.ht.aop,rumple.aop,deepgaps.aop,deepgap.fraction.aop,cover.fraction.aop,top.rugosity.aop,vert.sd.aop,sd.sd.aop,entropy.aop,GFP.AOP.aop,VAI.AOP.aop,VCI.AOP.aop,siteID,monthyear.y,sitemonthyear,latitude,longitude,easting.y,northing.y,X_TSC_2015median,X_TSC_2016median,X_TSC_2017median,X_TSC_2018median,X_TSC_2019median,X_TSC_2020median
CLBJ,CLBJ_035,2017,0.340499778,0.170249889,2,2.126013634,0.035433561,60,2.097619819,0.037457497,56,0.892117871,0.297372624,3,0.981766085,0.003646783,0.014587132,78.52083333,0.291666667,1.166666667,0.985435631,78.9375,2.17606184,0.035097772,62,1.517068939,0.050568965,30,invaded,0.795228628,0.038104705,2017-05,2017CLBJ_035,632212.369,3688764.37,0.325005054,8.343,1.107447227,98,0.058298632,0.941701368,1.210154071,6.438152629,1.482105013,0.543933929,0.798440067,23.34988454,NA,CLBJ,5/1/2017,CLBJ2017-05,33.329927,-97.579437,632212.369,3688764.37,0,0,0,0,0,0
CLBJ,CLBJ_036,2017,0,0,0,3.240113747,0.032728422,99,3.172926904,0.034867329,91,1.30647785,0.186639693,7,0.978076731,0.021923269,0,81.79166667,1.833333333,0,1,83.66666667,3.240113747,0.032728422,99,2.075525243,0.057653479,36,not_invaded,0.810185185,0.033176801,2017-05,2017CLBJ_036,632062.408,3696264.855,1.768269521,10.328,1.552104896,93,0.055324212,0.944675788,2.858062618,3.768868606,1.548502789,0.417936999,0.746401766,15.96327757,NA,CLBJ,5/1/2017,CLBJ2017-05,33.397578,-97.57995,632062.408,3696264.855,0,0,0,0,0,0
CLBJ,CLBJ_036,2017,0,0,0,3.240113747,0.032728422,99,3.172926904,0.034867329,91,1.30647785,0.186639693,7,0.978076731,0.021923269,0,81.79166667,1.833333333,0,1,83.66666667,3.240113747,0.032728422,99,2.075525243,0.057653479,36,not_invaded,0.810185185,0.033176801,2017-05,2017CLBJ_036,632062.408,3696264.855,1.768269521,10.328,1.552104896,93,0.055324212,0.944675788,2.858062618,3.768868606,1.548502789,0.417936999,0.746401766,15.96327757,NA,CLBJ,5/1/2018,CLBJ2018-05,33.397578,-97.57995,632062.408,3696264.855,0,0,0,0,0,0
CLBJ,CLBJ_036,2017,0,0,0,3.240113747,0.032728422,99,3.172926904,0.034867329,91,1.30647785,0.186639693,7,0.978076731,0.021923269,0,81.79166667,1.833333333,0,1,83.66666667,3.240113747,0.032728422,99,2.075525243,0.057653479,36,not_invaded,0.810185185,0.033176801,2017-05,2017CLBJ_036,632062.408,3696264.855,1.768269521,10.328,1.552104896,93,0.055324212,0.944675788,2.858062618,3.768868606,1.548502789,0.417936999,0.746401766,15.96327757,NA,CLBJ,4/1/2019,CLBJ2019-04,33.397578,-97.57995,632062.408,3696264.855,0,0,0,0,0,0
CLBJ,CLBJ_036,2018,0,0,0,3.022165694,0.036855679,82,3.009031992,0.038089013,79,0.673011667,0.336505834,2,0.998127341,0.001872659,0,55.52083333,0.104166667,0,1,55.66666667,3.022165694,0.036855679,82,1.775049042,0.055470283,32,not_invaded,0.752380952,0.049397955,2018-05,2018CLBJ_036,632062.408,3696264.855,1.59741425,10.815,1.614537037,95,0.05651398,0.94348602,2.888645137,3.480542805,1.621237695,0.407969143,0.740204031,16.59472675,NA,CLBJ,5/1/2017,CLBJ2017-05,33.397578,-97.57995,632062.408,3696264.855,0,0,0,0,0,0
CLBJ,CLBJ_036,2018,0,0,0,3.022165694,0.036855679,82,3.009031992,0.038089013,79,0.673011667,0.336505834,2,0.998127341,0.001872659,0,55.52083333,0.104166667,0,1,55.66666667,3.022165694,0.036855679,82,1.775049042,0.055470283,32,not_invaded,0.752380952,0.049397955,2018-05,2018CLBJ_036,632062.408,3696264.855,1.59741425,10.815,1.614537037,95,0.05651398,0.94348602,2.888645137,3.480542805,1.621237695,0.407969143,0.740204031,16.59472675,NA,CLBJ,5/1/2018,CLBJ2018-05,33.397578,-97.57995,632062.408,3696264.855,0,0,0,0,0,0
CLBJ,CLBJ_036,2018,0,0,0,3.022165694,0.036855679,82,3.009031992,0.038089013,79,0.673011667,0.336505834,2,0.998127341,0.001872659,0,55.52083333,0.104166667,0,1,55.66666667,3.022165694,0.036855679,82,1.775049042,0.055470283,32,not_invaded,0.752380952,0.049397955,2018-05,2018CLBJ_036,632062.408,3696264.855,1.59741425,10.815,1.614537037,95,0.05651398,0.94348602,2.888645137,3.480542805,1.621237695,0.407969143,0.740204031,16.59472675,NA,CLBJ,4/1/2019,CLBJ2019-04,33.397578,-97.57995,632062.408,3696264.855,0,0,0,0,0,0
CLBJ,CLBJ_036,2019,0,0,0,2.971056676,0.054019212,55,2.934309344,0.056429026,52,0.955699891,0.31856663,3,0.989795918,0.010204082,0,42.4375,0.4375,0,1,42.875,2.971056676,0.054019212,55,1.910667848,0.068238137,28,not_invaded,0.770642202,0.059289771,2019-04,2019CLBJ_036,632062.408,3696264.855,1.886073354,10.94,1.644630046,86,0.051160024,0.948839976,3.126675189,3.721677383,1.585081125,0.43023307,0.745268552,20.56610127,NA,CLBJ,5/1/2017,CLBJ2017-05,33.397578,-97.57995,632062.408,3696264.855,0,0,0,0,0,0
CLBJ,CLBJ_036,2019,0,0,0,2.971056676,0.054019212,55,2.934309344,0.056429026,52,0.955699891,0.31856663,3,0.989795918,0.010204082,0,42.4375,0.4375,0,1,42.875,2.971056676,0.054019212,55,1.910667848,0.068238137,28,not_invaded,0.770642202,0.059289771,2019-04,2019CLBJ_036,632062.408,3696264.855,1.886073354,10.94,1.644630046,86,0.051160024,0.948839976,3.126675189,3.721677383,1.585081125,0.43023307,0.745268552,20.56610127,NA,CLBJ,5/1/2018,CLBJ2018-05,33.397578,-97.57995,632062.408,3696264.855,0,0,0,0,0,0
CLBJ,CLBJ_036,2019,0,0,0,2.971056676,0.054019212,55,2.934309344,0.056429026,52,0.955699891,0.31856663,3,0.989795918,0.010204082,0,42.4375,0.4375,0,1,42.875,2.971056676,0.054019212,55,1.910667848,0.068238137,28,not_invaded,0.770642202,0.059289771,2019-04,2019CLBJ_036,632062.408,3696264.855,1.886073354,10.94,1.644630046,86,0.051160024,0.948839976,3.126675189,3.721677383,1.585081125,0.43023307,0.745268552,20.56610127,NA,CLBJ,4/1/2019,CLBJ2019-04,33.397578,-97.57995,632062.408,3696264.855,0,0,0,0,0,0
CLBJ,CLBJ_038,2017,1.098612289,0.366204096,3,2.852921587,0.032055299,89,2.824621177,0.033626443,84,1.27118148,0.31779537,4,0.994103042,0.004034761,0.001862197,66.72916667,0.270833333,0.125,0.998141264,67.125,2.863205266,0.031121796,92,2.329203321,0.06850598,34,invaded,0.768031189,0.099304374,2017-05,2017CLBJ_038,630442.546,3698092.837,5.887299873,16.364,2.03714539,107,0.063652588,0.936347412,3.410494841,4.619967796,2.00731123,0.509469314,0.787213046,11.44139703,NA,CLBJ,5/1/2017,CLBJ2017-05,33.414259,-97.597098,630442.546,3698092.837,0,0,0,0,0,0
CLBJ,CLBJ_039,2017,0.113579453,0.056789726,2,2.677751761,0.037190997,72,2.565577469,0.038872386,66,0.981374419,0.196274884,5,0.906825939,0.036518771,0.05665529,55.35416667,2.229166667,3.458333333,0.94346049,57.70833333,2.750112448,0.037163682,74,1.313629261,0.054734553,24,invaded,0.781575037,0.028991973,2017-05,2017CLBJ_039,631822.133,3688703.552,1.520760759,9.287,1.481084069,101,0.060083284,0.939916716,2.382273555,5.170926961,1.477226635,0.499171147,0.778936254,16.75233827,NA,CLBJ,5/1/2017,CLBJ2017-05,33.329427,-97.583638,631822.133,3688703.552,0,0,0,0,0,0
CLBJ,CLBJ_040,2017,0.673011667,0.336505834,2,1.958987512,0.0783595,25,1.917731713,0.079905488,24,0,0,1,0.983495146,0.011650485,0.004854369,21.10416667,0.25,0.104166667,0.995145631,21.35416667,1.983450955,0.073461146,27,1.817476989,0.106910411,17,invaded,0.756218905,0.060260495,2017-05,2017CLBJ_040,625882.127,3694102.735,5.649157035,12.534,1.992111123,89,0.052944676,0.947055324,2.78953069,4.059875816,1.08336031,0.476940407,0.800746903,9.171446102,NA,CLBJ,5/1/2017,CLBJ2017-05,33.378824,-97.646691,625882.127,3694102.735,0,0,0,0,0,0
CLBJ,CLBJ_041,2017,0.395878892,0.065979815,6,2.349712243,0.048952338,48,2.180589973,0.050711395,43,1.013851024,0.337950341,3,0.70467033,0.021062271,0.274267399,32.0625,0.958333333,12.47916667,0.730907457,33.89583333,2.406304431,0.044561193,54,1.223039837,0.058239992,21,invaded,0.842105263,0.042105263,2017-05,2017CLBJ_041,624411.434,3697644.222,0.476316121,6.82,1.138962981,93,0.055324212,0.944675788,1.268170834,2.503363947,1.046436481,0.397183853,0.6936363,11.90681132,NA,CLBJ,5/1/2017,CLBJ2017-05,33.410931,-97.662009,624411.434,3697644.222,1437,1803,2168,2525,2890,3256
CLBJ,CLBJ_042,2018,0,0,0,2.555269423,0.050103322,51,2.529522853,0.051622915,49,0.562335145,0.281167572,2,0.993720565,0.006279435,0,26.375,0.166666667,0,1,26.54166667,2.555269423,0.050103322,51,2.155746628,0.086229865,25,not_invaded,0.848484848,0.016683691,2018-05,2018CLBJ_042,630441.76,3693354.515,7.764873077,13.238,1.954946419,121,0.071980964,0.928019036,2.936102075,4.153759686,1.392888865,0.483464106,0.787803473,8.488464238,NA,CLBJ,5/1/2017,CLBJ2017-05,33.371534,-97.597793,630441.76,3693354.515,0,0,0,0,0,0
CLBJ,CLBJ_042,2018,0,0,0,2.555269423,0.050103322,51,2.529522853,0.051622915,49,0.562335145,0.281167572,2,0.993720565,0.006279435,0,26.375,0.166666667,0,1,26.54166667,2.555269423,0.050103322,51,2.155746628,0.086229865,25,not_invaded,0.848484848,0.016683691,2018-05,2018CLBJ_042,630441.76,3693354.515,7.764873077,13.238,1.954946419,121,0.071980964,0.928019036,2.936102075,4.153759686,1.392888865,0.483464106,0.787803473,8.488464238,NA,CLBJ,5/1/2018,CLBJ2018-05,33.371534,-97.597793,630441.76,3693354.515,0,0,0,0,0,0
CLBJ,CLBJ_042,2017,0,0,0,2.475555839,0.049511117,50,2.440697885,0.051929742,47,0.983961446,0.327987149,3,0.99202454,0.00797546,0,33.6875,0.270833333,0,1,33.95833333,2.475555839,0.049511117,50,2.157560354,0.079909643,27,not_invaded,0.831804281,0.045701287,2017-05,2017CLBJ_042,630441.76,3693354.515,7.252589859,12.838,2.04140748,123,0.073170732,0.926829268,2.942203436,4.119960346,1.72728736,0.478703721,0.765041356,10.8495999,NA,CLBJ,5/1/2017,CLBJ2017-05,33.371534,-97.597793,630441.76,3693354.515,0,0,0,0,0,0
CLBJ,CLBJ_042,2017,0,0,0,2.475555839,0.049511117,50,2.440697885,0.051929742,47,0.983961446,0.327987149,3,0.99202454,0.00797546,0,33.6875,0.270833333,0,1,33.95833333,2.475555839,0.049511117,50,2.157560354,0.079909643,27,not_invaded,0.831804281,0.045701287,2017-05,2017CLBJ_042,630441.76,3693354.515,7.252589859,12.838,2.04140748,123,0.073170732,0.926829268,2.942203436,4.119960346,1.72728736,0.478703721,0.765041356,10.8495999,NA,CLBJ,5/1/2018,CLBJ2018-05,33.371534,-97.597793,630441.76,3693354.515,0,0,0,0,0,0
CLBJ,CLBJ_043,2017,0,0,0,2.756451001,0.039377871,70,2.655227688,0.041487933,64,1.151738197,0.230347639,5,0.969745223,0.030254777,0,38.0625,1.1875,0,1,39.35416667,2.756451001,0.039377871,70,2.132370795,0.0761561,28,not_invaded,0.763990268,0.079810054,2017-05,2017CLBJ_043,630623.323,3697615.275,5.550178974,13.366,2.105298936,83,0.049375372,0.950624628,3.035256531,3.988349582,1.433889307,0.482039228,0.790521623,8.595257089,NA,CLBJ,5/1/2017,CLBJ2017-05,33.409931,-97.595224,630623.323,3697615.275,0,0,0,0,0,0
CLBJ,CLBJ_044,2017,0,0,1,2.062796425,0.040446989,51,2.039967826,0.044347127,46,1.547286733,0.309457347,5,0.995755306,0.003745318,0.000499376,83.08333333,0.3125,0.041666667,0.999500624,83.39583333,2.066061896,0.03973196,52,1.398238164,0.082249304,17,invaded,0.774941995,0.049014447,2017-05,2017CLBJ_044,624862.186,3698244.719,0.272,5.514,1.071570202,87,0.051754908,0.948245092,0.665715238,1.43225564,0.250762686,0.286076009,0.640933309,19.27629774,NA,CLBJ,5/1/2017,CLBJ2017-05,33.416293,-97.657079,624862.186,3698244.719,4549,4907.5,5265,5630,5995,6361
CLBJ,CLBJ_044,2017,0,0,1,2.062796425,0.040446989,51,2.039967826,0.044347127,46,1.547286733,0.309457347,5,0.995755306,0.003745318,0.000499376,83.08333333,0.3125,0.041666667,0.999500624,83.39583333,2.066061896,0.03973196,52,1.398238164,0.082249304,17,invaded,0.774941995,0.049014447,2017-05,2017CLBJ_044,624862.186,3698244.719,0.272,5.514,1.071570202,87,0.051754908,0.948245092,0.665715238,1.43225564,0.250762686,0.286076009,0.640933309,19.27629774,NA,CLBJ,5/1/2018,CLBJ2018-05,33.416293,-97.657079,624862.186,3698244.719,4549,4907.5,5265,5630,5995,6361
CLBJ,CLBJ_044,2018,0,0,0,1.755137567,0.065005095,27,1.693213378,0.067728535,25,0.244930027,0.122465013,2,0.982837529,0.017162471,0,53.6875,0.9375,0,1,54.625,1.755137567,0.065005095,27,1.198794441,0.133199382,9,not_invaded,0.830564784,0.018099904,2018-05,2018CLBJ_044,624862.186,3698244.719,0.344048367,5.833,1.121310746,89,0.052944676,0.947055324,0.846960809,1.871185588,0.788457871,0.323977695,0.659888143,23.60719363,NA,CLBJ,5/1/2017,CLBJ2017-05,33.416293,-97.657079,624862.186,3698244.719,4549,4907.5,5265,5630,5995,6361
CLBJ,CLBJ_044,2018,0,0,0,1.755137567,0.065005095,27,1.693213378,0.067728535,25,0.244930027,0.122465013,2,0.982837529,0.017162471,0,53.6875,0.9375,0,1,54.625,1.755137567,0.065005095,27,1.198794441,0.133199382,9,not_invaded,0.830564784,0.018099904,2018-05,2018CLBJ_044,624862.186,3698244.719,0.344048367,5.833,1.121310746,89,0.052944676,0.947055324,0.846960809,1.871185588,0.788457871,0.323977695,0.659888143,23.60719363,NA,CLBJ,5/1/2018,CLBJ2018-05,33.416293,-97.657079,624862.186,3698244.719,4549,4907.5,5265,5630,5995,6361
CLBJ,CLBJ_045,2017,0.580213063,0.08288758,7,2.558184274,0.042636405,60,2.38297611,0.045826464,52,1.525909959,0.217987137,7,0.901342975,0.047262397,0.051394628,72.70833333,3.8125,4.145833333,0.948869476,76.9375,2.658880214,0.039684779,67,1.923047414,0.068680265,28,invaded,0.829545455,0.03868295,2017-05,2017CLBJ_045,633141.462,3696924.986,3.286360406,12.72,2.410223153,105,0.06246282,0.93753718,3.827162762,5.13070495,1.488691428,0.529267876,0.800101227,9.953901729,NA,CLBJ,5/1/2017,CLBJ2017-05,33.403397,-97.568252,633141.462,3696924.986,0,0,0,0,0,0
CLBJ,CLBJ_046,2017,0,0,0,2.388240919,0.041176568,58,2.310403386,0.044430834,52,1.441183105,0.288236621,5,0.982844494,0.017155506,0,37,0.645833333,0,1,37.6875,2.388240919,0.041176568,58,2.014356414,0.071941301,28,not_invaded,0.800915332,0.053356025,2017-05,2017CLBJ_046,631731.495,3696924.926,7.934381655,13.507,1.854679004,122,0.072575848,0.927424152,2.950116501,4.48230569,1.619458102,0.508109801,0.748360584,14.07429993,NA,CLBJ,5/1/2017,CLBJ2017-05,33.403571,-97.58341,631731.495,3696924.926,0,0,0,0,0,0
CLBJ,CLBJ_049,2017,0,0,1,3.043510543,0.040580141,75,2.956969778,0.042854634,69,0.561465196,0.093577533,6,0.912329864,0.072457966,0.01521217,47.47916667,3.770833333,0.791666667,0.98478783,51.25,3.07598098,0.040473434,76,1.813463424,0.078846236,23,invaded,0.838095238,0.038178415,2017-05,2017CLBJ_049,626842.436,3697945.995,3.362891195,13.021,1.966366748,50,0.030487805,0.969512195,3.453815595,5.088122931,1.492941034,0.519249575,0.807933642,12.88973953,NA,CLBJ,5/1/2017,CLBJ2017-05,33.413367,-97.635828,626842.436,3697945.995,0,0,0,0,0,0
CLBJ,CLBJ_049,2017,0,0,1,3.043510543,0.040580141,75,2.956969778,0.042854634,69,0.561465196,0.093577533,6,0.912329864,0.072457966,0.01521217,47.47916667,3.770833333,0.791666667,0.98478783,51.25,3.07598098,0.040473434,76,1.813463424,0.078846236,23,invaded,0.838095238,0.038178415,2017-05,2017CLBJ_049,626842.436,3697945.995,3.362891195,13.021,1.966366748,50,0.030487805,0.969512195,3.453815595,5.088122931,1.492941034,0.519249575,0.807933642,12.88973953,NA,CLBJ,5/1/2018,CLBJ2018-05,33.413367,-97.635828,626842.436,3697945.995,0,0,0,0,0,0
CLBJ,CLBJ_049,2018,0,0,1,2.814691609,0.040792632,69,2.727525202,0.045458753,60,1.80195114,0.257421591,7,0.977906365,0.018937401,0.003156234,38.72916667,0.75,0.125,0.996850394,39.5625,2.827114317,0.040387347,70,2.046943247,0.093042875,22,invaded,0.839936609,0.029403624,2018-05,2018CLBJ_049,626842.436,3697945.995,4.123296482,13.168,2.016922406,89,0.052944676,0.947055324,3.534770186,4.802250797,1.478277079,0.511212802,0.811439529,9.55729307,NA,CLBJ,5/1/2017,CLBJ2017-05,33.413367,-97.635828,626842.436,3697945.995,0,0,0,0,0,0
CLBJ,CLBJ_049,2018,0,0,1,2.814691609,0.040792632,69,2.727525202,0.045458753,60,1.80195114,0.257421591,7,0.977906365,0.018937401,0.003156234,38.72916667,0.75,0.125,0.996850394,39.5625,2.827114317,0.040387347,70,2.046943247,0.093042875,22,invaded,0.839936609,0.029403624,2018-05,2018CLBJ_049,626842.436,3697945.995,4.123296482,13.168,2.016922406,89,0.052944676,0.947055324,3.534770186,4.802250797,1.478277079,0.511212802,0.811439529,9.55729307,NA,CLBJ,5/1/2018,CLBJ2018-05,33.413367,-97.635828,626842.436,3697945.995,0,0,0,0,0,0
CLBJ,CLBJ_050,2018,0.149994924,0.074997462,2,2.306254693,0.044351052,52,2.247942009,0.048868305,46,1.560710409,0.312142082,5,0.943548387,0.009677419,0.046774194,36.5625,0.375,1.8125,0.953301127,37,2.394237884,0.044337739,54,1.738039529,0.082763787,21,invaded,0.88590604,0.026465094,2018-05,2018CLBJ_050,628131.9,3694194.459,1.721950602,9.586,1.295305649,102,0.060678168,0.939321832,2.473148334,3.74698057,1.349058478,0.466825339,0.75854893,11.75863091,NA,CLBJ,5/1/2018,CLBJ2018-05,33.379385,-97.622498,628131.9,3694194.459,0,0,0,0,0,0
CLBJ,CLBJ_051,2017,0,0,0,3.335143109,0.070960492,47,3.168515882,0.077280875,41,1.62304732,0.270507887,6,0.905714286,0.094285714,0,6.604166667,0.6875,0,1,7.291666667,3.335143109,0.070960492,47,2.488892744,0.108212728,23,not_invaded,0.823529412,0.060838897,2017-05,2017CLBJ_051,630742.157,3693145.145,5.80754386,13.534,1.796162029,85,0.05056514,0.94943486,3.615855337,4.860342402,1.366815471,0.511090788,0.801425004,14.53981837,NA,CLBJ,5/1/2017,CLBJ2017-05,33.369609,-97.594595,630742.157,3693145.145,0,0,0,0,0,0
CLBJ,CLBJ_051,2017,0,0,0,3.335143109,0.070960492,47,3.168515882,0.077280875,41,1.62304732,0.270507887,6,0.905714286,0.094285714,0,6.604166667,0.6875,0,1,7.291666667,3.335143109,0.070960492,47,2.488892744,0.108212728,23,not_invaded,0.823529412,0.060838897,2017-05,2017CLBJ_051,630742.157,3693145.145,5.80754386,13.534,1.796162029,85,0.05056514,0.94943486,3.615855337,4.860342402,1.366815471,0.511090788,0.801425004,14.53981837,NA,CLBJ,5/1/2018,CLBJ2018-05,33.369609,-97.594595,630742.157,3693145.145,0,0,0,0,0,0
CLBJ,CLBJ_051,2018,0,0,0,1.517958003,0.072283714,21,1.485799874,0.074289994,20,0,0,1,0.992753623,0.007246377,0,8.5625,0.0625,0,1,8.625,1.517958003,0.072283714,21,1.38112488,0.11509374,12,not_invaded,0.845070423,0.08984082,2018-05,2018CLBJ_051,630742.157,3693145.145,6.818045797,14.48,1.746435108,87,0.051754908,0.948245092,3.593470143,4.581342361,1.231193526,0.503690393,0.806076911,10.40925762,NA,CLBJ,5/1/2017,CLBJ2017-05,33.369609,-97.594595,630742.157,3693145.145,0,0,0,0,0,0
